Function,Configuration,Run,Fitness
cross_in_tray,real_blx-alpha,13,-2.0626118708227397
cross_in_tray,real_blx-alpha,14,-2.0626118708226295
cross_in_tray,real_blx-alpha,15,-2.0626118708227397
cross_in_tray,real_blx-alpha,16,-2.0626118708227392
cross_in_tray,real_blx-alpha,17,-2.0626118708227397
cross_in_tray,real_blx-alpha,18,-2.0626118708227397
cross_in_tray,real_blx-alpha,19,-2.0626118708227397
cross_in_tray,real_blx-alpha,20,-2.0626118708227397
cross_in_tray,real_blx-alpha,21,-2.0626118708227397
cross_in_tray,real_blx-alpha,22,-2.0626118708227397
cross_in_tray,real_blx-alpha,23,-2.0626118708227397
cross_in_tray,real_blx-alpha,24,-2.0626118687711243
cross_in_tray,real_blx-alpha,25,-2.0626118708227397
cross_in_tray,real_blx-alpha,26,-2.0626118708227397
cross_in_tray,real_blx-alpha,27,-2.0626118708227397
cross_in_tray,real_blx-alpha,28,-2.0626118708227397
cross_in_tray,real_blx-alpha,29,-2.0626118147134047
cross_in_tray,real_blx-alpha,30,-2.0626118708227397
